CODGEO,LIBGEO,APL_MEDECINS,Pop_standardisee,CLASSE_ACCESSIBILITE
02043,Bagneux,1.418,62.049,Très faible
02044,Bancigny,3.148,24.186,Moyenne
02046,Barenton-Bugny,3.003,546.449,Moyenne
02047,Barenton-Cel,3.163,118.793,Moyenne
02048,Barenton-sur-Serre,3.121,122.952,Moyenne
02049,Barisis-aux-Bois,2.777,748.497,Moyenne
02050,Barzy-en-Thiérache,3.266,313.623,Élevée
02051,Barzy-sur-Marne,3.979,409.575,Très élevée
02052,Bassoles-Aulers,1.988,129.838,Faible
02053,Vallées en Champagne,2.049,587.09,Faible
02054,Bazoches-et-Saint-Thibaut,3.341,517.265,Élevée
02055,Beaumé,2.701,96.585,Moyenne
02056,Beaumont-en-Beine,2.265,162.787,Faible
02057,Beaurevoir,3.061,1416.958,Moyenne
02058,Beaurieux,1.727,781.556,Très faible
02059,Beautor,3.277,2676.813,Élevée
02060,Beauvois-en-Vermandois,1.422,260.44,Très faible
02061,Becquigny,2.683,235.652,Moyenne
02062,Belleau,1.743,134.901,Très faible
02063,Bellenglise,3.035,367.918,Moyenne
02064,Belleu,3.414,4030.406,Élevée
02065,Bellicourt,1.84,559.479,Très faible
02066,Benay,3.817,192.16,Élevée
02067,Bergues-sur-Sambre,3.495,208.254,Élevée
02068,Berlancourt,2.632,78.43,Moyenne
02069,Berlise,3.76,107.159,Élevée
02070,Bernot,4.213,433.867,Très élevée
02071,Berny-Rivière,1.542,624.497,Très faible
02072,Berrieux,3.821,172.399,Élevée
02073,Berry-au-Bac,3.714,664.141,Élevée
02074,Bertaucourt-Epourdon,2.109,559.458,Faible
02075,Berthenicourt,3.873,190.591,Élevée
02076,Bertricourt,2.644,132.778,Moyenne
02078,Besmé,1.494,154.418,Très faible
02079,Besmont,2.013,161.218,Faible
02080,Besny-et-Loizy,3.096,332.213,Moyenne
02081,Béthancourt-en-Vaux,2.517,410.424,Faible
02082,Beugneux,2.418,109.254,Faible
02083,Beuvardes,3.608,738.359,Élevée
02084,Bézu-le-Guéry,1.785,236.491,Très faible
02085,Bézu-Saint-Germain,2.946,886.142,Moyenne
02086,Bichancourt,2.422,1001.062,Faible
02087,Bieuxy,1.548,33.632,Très faible
02088,Bièvres,1.973,83.975,Faible
02089,Billy-sur-Aisne,3.311,1199.704,Élevée
02090,Billy-sur-Ourcq,1.188,185.231,Très faible
02091,Blanzy-lès-Fismes,2.569,94.385,Faible
02093,Blérancourt,1.774,1262.878,Très faible
02094,Blesmes,4.211,448.156,Très élevée
02095,Bohain-en-Vermandois,3.058,5665.614,Moyenne
02096,Bois-lès-Pargny,3.048,184.691,Moyenne
02097,Boncourt,2.363,259.902,Faible
02098,Bonneil,2.785,374.758,Moyenne
02099,Bonnesvalyn,1.826,193.242,Très faible
02100,Bony,2.859,131.451,Moyenne
02101,Bosmont-sur-Serre,3.659,183.482,Élevée
02102,Bouconville-Vauclair,2.057,178.637,Faible
02103,Boué,3.936,1323.307,Très élevée
02104,Bouffignereux,2.259,101.188,Faible
02105,Bouresches,2.359,193.782,Faible
02106,Bourg-et-Comin,2.022,860.018,Faible
02107,Bourguignon-sous-Coucy,1.122,105.716,Très faible
02108,Bourguignon-sous-Montbavin,3.754,155.337,Élevée
02109,La Bouteille,3.624,476.776,Élevée
02110,Braine,3.027,2357.818,Moyenne
02111,Brancourt-en-Laonnois,2.118,686.331,Faible
02112,Brancourt-le-Grand,2.709,553.729,Moyenne
02114,Brasles,3.716,1799.931,Élevée
02115,Braye-en-Laonnois,1.283,186.214,Très faible
02116,Braye-en-Thiérache,2.351,155.833,Faible
02117,Bray-Saint-Christophe,1.706,64.94,Très faible
02118,Braye,3.06,128.621,Moyenne
02119,Brécy,3.397,319.416,Élevée
02120,Brenelle,2.834,195.213,Moyenne
02121,Breny,1.946,229.578,Faible
02122,Brie,2.322,56.779,Faible
02123,Brissay-Choigny,2.411,303.967,Faible
02124,Brissy-Hamégicourt,2.433,662.815,Faible
02125,Brumetz,1.396,165.332,Très faible
02126,Brunehamel,1.755,468.976,Très faible
02127,Bruyères-sur-Fère,2.927,192.998,Moyenne
02128,Bruyères-et-Montbérault,2.143,1485.071,Faible
02129,Bruys,1.759,18.938,Très faible
02130,Bucilly,3.085,206.534,Moyenne
02131,Bucy-le-Long,3.458,1929.315,Élevée
02132,Bucy-lès-Cerny,3.341,170.593,Élevée
02133,Bucy-lès-Pierrepont,2.524,398.002,Faible
02134,Buire,2.838,870.469,Moyenne
02135,Buironfosse,2.198,1173.839,Faible
02136,Burelles,3.582,126.305,Élevée
02137,Bussiares,1.637,130.808,Très faible
02138,Buzancy,2.874,198.265,Moyenne
02139,Caillouël-Crépigny,2.227,447.411,Faible
02140,Camelin,1.91,426.709,Très faible
02141,La Capelle,3.473,1849.773,Élevée
02142,Castres,2.525,237.225,Faible
02143,Le Catelet,3.15,183.45,Moyenne
02144,Caulaincourt,1.441,130.933,Très faible
02145,Caumont,2.26,536.85,Faible
02146,Celles-lès-Condé,2.586,103.725,Faible
02148,Celles-sur-Aisne,3.195,246.937,Élevée
02149,Cerizy,4.24,59.814,Très élevée
02150,Cerny-en-Laonnois,1.476,58.773,Très faible
02151,Cerny-lès-Bucy,3.347,117.383,Élevée
02152,Cerseuil,2.645,88.968,Moyenne
02153,Cessières-Suzy,2.781,775.337,Moyenne
02154,Chacrise,1.991,352.91,Faible
02155,Chaillevois,3.026,190.852,Moyenne
02156,Chalandry,2.47,241.334,Faible
02157,Chambry,3.231,865.717,Élevée
02158,Chamouille,1.55,247.808,Très faible
02159,Champs,2.212,303.155,Faible
02160,Chaourse,3.248,524.83,Élevée
02162,La Chapelle-sur-Chézy,1.985,271.936,Faible
02163,Charly-sur-Marne,1.11,2587.77,Très faible
02164,Le Charmel,4.029,326.347,Très élevée
02165,Charmes,2.026,1629.668,Faible
02166,Chartèves,4.309,353.776,Très élevée
02167,Chassemy,2.732,846.107,Moyenne
02168,Château-Thierry,3.582,15140.724,Élevée
02169,Châtillon-lès-Sons,2.415,81.497,Faible
02170,Châtillon-sur-Oise,4.029,123.559,Très élevée
02171,Chaudardes,1.604,88.535,Très faible
